trial	group	subject	repetition	x	y	random	triedToEat	ate
Travel	Control	1	0	-0.206392650425139	-0.0589159758052977	false	false	false
Travel	Control	1	0	-0.239335170623765	-0.0213188033613004	false	false	false
Travel	Control	1	0	-0.274313203586984	0.0143997669758009	false	false	false
Travel	Control	1	0	-0.31092306964731	0.0484486321613476	false	false	false
Travel	Control	1	0	-0.34906363661499	0.0807726972666788	false	false	false
Travel	Control	1	0	-0.388647264999618	0.111306998028238	false	false	false
Travel	Control	1	0	-0.429843563978163	0.139619534313563	false	false	false
Travel	Control	1	0	-0.473046716635648	0.164739025095312	false	false	false
Travel	Control	1	0	-0.519040601246905	0.184139803246149	false	false	false
Travel	Control	1	0	-0.568048188182006	0.186230843222267	false	true	true
Travel	Control	1	0	-0.594335735973109	0.146337076791907	false	false	false
Travel	Control	1	0	-0.597660684634653	0.0965346302308338	false	false	false
Travel	Control	1	0	-0.595226686440856	0.0466021424810079	false	false	false
Travel	Control	1	0	-0.591382689721628	-0.00324974785689317	false	false	false
Travel	Control	1	0	-0.588131425124849	-0.0531414593063904	false	false	false
Travel	Control	1	0	-0.587096350123535	-0.103119371600337	false	false	false
Travel	Control	1	0	-0.590249693113791	-0.152987852806593	false	false	false
Travel	Control	1	0	-0.600674361183708	-0.201799207649209	false	false	false
Travel	Control	1	0	-0.622229199622064	-0.246747923347141	false	false	false
Travel	Control	1	0	-0.654237470500133	-0.284948760026195	false	false	false
Travel	Control	1	0	-0.694307406388981	-0.314662936354371	false	false	false
Travel	Control	1	0	-0.739867560596592	-0.335052740467686	false	false	false
Travel	Control	1	0	-0.788677440406762	-0.345453543605712	false	false	false
Travel	Control	1	0	-0.838432394550795	-0.343283287071059	false	false	false
Travel	Control	1	0	-0.882352867848711	-0.32112204143636	false	false	false
Travel	Control	1	0	-0.902857077406062	-0.276399851342533	false	false	false
Travel	Control	1	0	-0.903822231256386	-0.226561048230778	false	false	false
Travel	Control	1	0	-0.896096028649473	-0.177192351585087	false	false	false
Travel	Control	1	0	-0.884383129803196	-0.128591970418898	false	false	false
Travel	Control	1	0	-0.870761705439434	-0.0804848566764597	false	false	false
Travel	Control	1	0	-0.856395879984932	-0.0325932271883084	false	false	false
Travel	Control	1	0	-0.841637314674573	0.0151788292381437	false	false	false
Travel	Control	1	0	-0.826500957974038	0.06283252039071	false	false	false
Travel	Control	1	0	-0.810980399744967	0.110362487807877	false	false	false
Travel	Control	1	0	-0.795110881841264	0.157777106268277	false	false	false
Travel	Control	1	0	-0.778896826907767	0.20507503631894	false	false	false
Travel	Control	1	0	-0.762384654607414	0.252269716034028	false	false	false
Travel	Control	1	0	-0.745601156325793	0.299368603393711	false	false	false
Travel	Control	1	0	-0.728567600857054	0.346377632435208	false	false	false
Travel	Control	1	0	-0.711134688559807	0.393239568287501	false	false	false
Travel	Control	1	0	-0.69290632812241	0.439796736384462	false	false	false
Travel	Control	1	0	-0.673462028316192	0.485857984231057	false	false	false
Travel	Control	1	0	-0.652336969066481	0.531172153077199	false	false	false
Travel	Control	1	0	-0.628897588088227	0.575330944354475	false	false	false
Travel	Control	1	0	-0.602482161894155	0.617768329567442	false	false	false
Travel	Control	1	0	-0.57220997314941	0.657532622067138	false	false	false
Travel	Control	1	0	-0.536842907244965	0.692796963188419	false	false	false
Travel	Control	1	0	-0.495558357717854	0.720782049984962	false	false	false
Travel	Control	1	0	-0.448820146882252	0.738041372258344	false	false	false
Travel	Control	1	0	-0.399180029713225	0.742949344949351	false	false	false
Travel	Control	1	0	-0.349434399370617	0.738556440567346	false	false	false
Travel	Control	1	0	-0.300618793730008	0.727890346083363	false	false	false
Travel	Control	1	0	-0.252911947725288	0.712976647413759	false	false	false
Travel	Control	1	0	-0.206190948041179	0.695189435392087	false	false	false
Travel	Control	1	0	-0.160244977469951	0.675474660540048	false	false	false
Travel	Control	1	0	-0.11484134640481	0.654535876490202	false	false	false
Travel	Control	1	0	-0.0697293493119323	0.632974332889036	false	false	false
